1	Bulbasaur	Grass	Poison	318	45	49	49	65	65	45	1	false
2	Ivysaur	Grass	Poison	405	60	62	63	80	80	60	1	false
3	Venusaur	Grass	Poison	525	80	82	83	100	100	80	1	false
3	VenusaurMega Venusaur	Grass	Poison	625	80	100	123	122	120	80	1	false
6	Charizard	Fire	Flying	534	78	84	78	109	85	100	1	false
6	CharizardMega Charizard X	Fire	Dragon	634	78	130	111	130	85	100	1	false
6	CharizardMega Charizard Y	Fire	Flying	634	78	104	78	159	115	100	1	false
12	Butterfree	Bug	Flying	395	60	45	50	90	80	70	1	false
13	Weedle	Bug	Poison	195	40	35	30	20	20	50	1	false
14	Kakuna	Bug	Poison	205	45	25	50	25	25	35	1	false
15	Beedrill	Bug	Poison	395	65	90	40	45	80	75	1	false
15	BeedrillMega Beedrill	Bug	Poison	495	65	150	40	15	80	145	1	false
16	Pidgey	Normal	Flying	251	40	45	40	35	35	56	1	false
17	Pidgeotto	Normal	Flying	349	63	60	55	50	50	71	1	false
18	Pidgeot	Normal	Flying	479	83	80	75	70	70	101	1	false
18	PidgeotMega Pidgeot	Normal	Flying	579	83	80	80	135	80	121	1	false
21	Spearow	Normal	Flying	262	40	60	30	31	31	70	1	false
22	Fearow	Normal	Flying	442	65	90	65	61	61	100	1	false
31	Nidoqueen	Poison	Ground	505	90	92	87	75	85	76	1	false
34	Nidoking	Poison	Ground	505	81	102	77	85	75	85	1	false
39	Jigglypuff	Normal	Fairy	270	115	45	20	45	25	20	1	false
40	Wigglytuff	Normal	Fairy	435	140	70	45	85	50	45	1	false
41	Zubat	Poison	Flying	245	40	45	35	30	40	55	1	false
42	Golbat	Poison	Flying	455	75	80	70	65	75	90	1	false
43	Oddish	Grass	Poison	320	45	50	55	75	65	30	1	false
44	Gloom	Grass	Poison	395	60	65	70	85	75	40	1	false
45	Vileplume	Grass	Poison	490	75	80	85	110	90	50	1	false
46	Paras	Bug	Grass	285	35	70	55	45	55	25	1	false
47	Parasect	Bug	Grass	405	60	95	80	60	80	30	1	false
48	Venonat	Bug	Poison	305	60	55	50	40	55	45	1	false
49	Venomoth	Bug	Poison	450	70	65	60	90	75	90	1	false
62	Poliwrath	Water	Fighting	510	90	95	95	70	90	70	1	false
69	Bellsprout	Grass	Poison	300	50	75	35	70	30	40	1	false
70	Weepinbell	Grass	Poison	390	65	90	50	85	45	55	1	false
71	Victreebel	Grass	Poison	490	80	105	65	100	70	70	1	false
72	Tentacool	Water	Poison	335	40	40	35	50	100	70	1	false
73	Tentacruel	Water	Poison	515	80	70	65	80	120	100	1	false
74	Geodude	Rock	Ground	300	40	80	100	30	30	20	1	false
75	Graveler	Rock	Ground	390	55	95	115	45	45	35	1	false
76	Golem	Rock	Ground	495	80	120	130	55	65	45	1	false
79	Slowpoke	Water	Psychic	315	90	65	65	40	40	15	1	false
80	Slowbro	Water	Psychic	490	95	75	110	100	80	30	1	false
80	SlowbroMega Slowbro	Water	Psychic	590	95	75	180	130	80	30	1	false
81	Magnemite	Electric	Steel	325	25	35	70	95	55	45	1	false
82	Magneton	Electric	Steel	465	50	60	95	120	70	70	1	false
83	Farfetch'd	Normal	Flying	352	52	65	55	58	62	60	1	false
84	Doduo	Normal	Flying	310	35	85	45	35	35	75	1	false
85	Dodrio	Normal	Flying	460	60	110	70	60	60	100	1	false
87	Dewgong	Water	Ice	475	90	70	80	70	95	70	1	false
91	Cloyster	Water	Ice	525	50	95	180	85	45	70	1	false
92	Gastly	Ghost	Poison	310	30	35	30	100	35	80	1	false
93	Haunter	Ghost	Poison	405	45	50	45	115	55	95	1	false
94	Gengar	Ghost	Poison	500	60	65	60	130	75	110	1	false
94	GengarMega Gengar	Ghost	Poison	600	60	65	80	170	95	130	1	false
95	Onix	Rock	Ground	385	35	45	160	30	45	70	1	false
102	Exeggcute	Grass	Psychic	325	60	40	80	60	45	40	1	false
103	Exeggutor	Grass	Psychic	520	95	95	85	125	65	55	1	false
111	Rhyhorn	Ground	Rock	345	80	85	95	30	30	25	1	false
112	Rhydon	Ground	Rock	485	105	130	120	45	45	40	1	false
